Epoch,NakamotoCoefficient,GiniIndex,TotalTokens,TotalVotingPower,AgentCount
342,13,0.6949,6378000.44,1876937.47,760
343,20,0.6417,5371736.92,1592583.09,759
344,20,0.6420,5351795.43,1586418.43,755
345,20,0.6418,5345289.70,1583784.84,753
346,20,0.6408,5347970.19,1584767.02,755
347,20,0.6403,5353060.15,1585911.41,755
348,20,0.6352,5219694.95,1547905.57,749
349,21,0.6264,5066167.59,1504111.50,745
350,21,0.6262,5065295.09,1504330.76,744
351,21,0.6256,5066105.88,1504958.20,745
352,21,0.6241,5080658.55,1509399.18,749
353,21,0.6232,5057443.08,1502944.79,748
354,21,0.6236,5040625.64,1498388.49,745
355,20,0.6247,5019172.63,1491303.29,739
356,20,0.6267,4994009.90,1483748.90,735
357,20,0.6262,4986492.87,1481906.58,734
358,20,0.6266,4971160.33,1477795.55,731
359,20,0.6258,4981035.29,1480880.12,732
360,20,0.6255,4984705.24,1481337.94,730
361,20,0.6247,4988414.43,1482715.13,731
362,19,0.6240,4915042.93,1461573.72,722
363,19,0.6231,4915536.83,1461014.17,722
364,19,0.6228,4917951.97,1461248.24,721
365,19,0.6242,4890609.13,1453327.15,719
366,20,0.6176,4782203.65,1422634.06,715
367,19,0.6175,4749514.44,1412775.16,709
368,19,0.6164,4758475.16,1415719.89,711
369,22,0.6034,4581846.76,1366221.85,709
370,23,0.5979,4524036.92,1349517.65,710
371,22,0.5985,4499478.26,1342352.56,705
372,22,0.5992,4488466.35,1339025.52,701
373,31,0.5700,4138516.76,1240830.81,697
374,35,0.5600,4005903.06,1203579.65,697
375,34,0.5622,3979497.83,1196031.01,694
376,33,0.5631,3968196.77,1191404.45,687
377,33,0.5638,3956806.60,1187929.13,682
378,33,0.5615,3919479.21,1177294.84,678
379,33,0.5606,3920246.67,1177986.43,679
380,33,0.5600,3922770.77,1178489.80,679
381,33,0.5594,3900322.89,1172134.85,675
382,33,0.5591,3903759.47,1173183.96,674
383,32,0.5597,3898377.37,1170603.82,669
384,33,0.5572,3875114.91,1163523.18,669
